,Rank,School,Rating,Win %,Adj Win %,SOS,Offense,Defense,+/-,Adj +/-,AP,Change,Logo Match
102,103,Northwestern (4-8),69.77706737122978,33.33333333333333,27.27272727272727,33.0,129.0,80.0,-11.454545454545455,-3.4437100209792852,NR,0,Northwestern
103,104,Maryland (4-8),69.28210776666567,33.33333333333333,25.212121212121215,15.0,99.0,101.0,-9.0,-2.227044092908347,NR,3,Maryland
104,105,Wake Forest (4-8),69.1985518224402,33.33333333333333,27.684848484848484,47.0,88.0,115.0,-10.363636363636363,-4.602615482293247,NR,-1,Wake_Forest
105,106,Arizona (4-8),69.17326034898298,33.33333333333333,26.44848484848485,32.0,103.0,114.0,-12.0,-3.542045856432095,NR,-1,Arizona
106,107,Akron (4-8),68.87085629674978,33.33333333333333,35.92727272727272,72.0,118.0,112.0,-13.636363636363637,-11.043145060394187,NR,-1,Akron
107,108,Hawai'i (5-7),67.76731763937465,41.66666666666667,35.21333333333333,92.0,116.0,86.0,-9.4,-12.028193292961005,NR,0,Hawai_i
108,109,UL Monroe (5-7),66.93867823747901,41.66666666666667,30.8,80.0,113.0,94.0,-9.909090909090908,-10.14557829368273,NR,0,UL_Monroe
109,110,Utah State (4-8),66.82933178312607,33.33333333333333,32.63030303030303,89.0,33.0,129.0,-8.363636363636363,-11.57769296303078,NR,0,Utah_State
110,111,Wyoming (3-9),66.82910674801204,25.0,31.80606060606061,83.0,115.0,87.0,-9.454545454545455,-11.010619025810795,NR,1,Wyoming
111,112,Rice (4-8),66.8160174670512,33.33333333333333,33.04242424242425,85.0,125.0,74.0,-9.181818181818182,-11.872264568482722,NR,-1,Rice
112,113,Eastern Michigan (5-7),66.23793296697275,41.66666666666667,33.27272727272727,119.0,78.0,97.0,-5.454545454545454,-12.786308105513447,NR,0,Eastern_Michigan
113,114,Stanford (3-9),64.03080475228731,25.0,19.62424242424242,11.0,110.0,122.0,-14.909090909090908,-5.298986474437095,NR,0,Stanford
114,115,UTEP (3-9),62.07189440572408,25.0,33.45454545454545,123.0,120.0,110.0,-13.727272727272727,-18.382889247155966,NR,0,UTEP
